Date,Currency,Change
March 21 2000,Pound sterling,1.118568233
March 21 2000,Canadian dollar,-0.166984733
March 21 2000,Swiss franc,3.027662819
March 21 2000,Indian rupee,-1.59849181
March 21 2000,Chinese renmimbi,-1.772636485
March 21 2000,South African rand,4.143444238
March 21 2000,Australian dollar,6.230104593
March 22 2000,US dollar,-0.861178092
March 22 2000,Euro,4.68695348
March 22 2000,Japanese yen,4.531807221
March 22 2000,Pound sterling,2.684563758
March 22 2000,Canadian dollar,0.930343511
March 22 2000,Swiss franc,4.944456545
March 22 2000,Indian rupee,-0.632901366
March 22 2000,Chinese renmimbi,-0.861351531
March 22 2000,South African rand,4.503743737
March 22 2000,Australian dollar,8.094588449
March 23 2000,US dollar,-1.894591802
March 23 2000,Euro,2.623294858
March 23 2000,Japanese yen,3.932004212
March 23 2000,Pound sterling,0.67114094
March 23 2000,Canadian dollar,-0.071564885
March 23 2000,Swiss franc,2.352428665
March 23 2000,Indian rupee,-1.657900573
March 23 2000,Chinese renmimbi,-1.905792277
March 23 2000,South African rand,3.743736981
March 23 2000,Australian dollar,7.116871305
March 24 2000,US dollar,-1.860144678
March 24 2000,Euro,2.553340329
March 24 2000,Japanese yen,3.639235132
March 24 2000,Pound sterling,0.279642058
March 24 2000,Canadian dollar,-0.405534351
March 24 2000,Swiss franc,1.633631017
March 24 2000,Indian rupee,-1.617502614
March 24 2000,Chinese renmimbi,-1.872503329
March 24 2000,South African rand,4.019591285
March 24 2000,Australian dollar,6.889495225
March 27 2000,US dollar,-2.101274544
March 27 2000,Euro,2.41343127
March 27 2000,Japanese yen,3.066263628
March 27 2000,Pound sterling,-0.111856823
March 27 2000,Canadian dollar,-1.192748092
March 27 2000,Swiss franc,1.415813548
March 27 2000,Indian rupee,-1.859890371
March 27 2000,Chinese renmimbi,-2.109687084
March 27 2000,South African rand,3.42847492
March 27 2000,Australian dollar,5.547976353
March 28 2000,US dollar,-3.306923872
March 28 2000,Euro,1.504022385
March 28 2000,Japanese yen,1.000917026
March 28 2000,Pound sterling,-1.006711409
March 28 2000,Canadian dollar,-2.60019084
March 28 2000,Swiss franc,0.566325419
March 28 2000,Indian rupee,-3.068660689
March 28 2000,Chinese renmimbi,-3.312250333
March 28 2000,South African rand,2.263131228
March 28 2000,Australian dollar,3.842655753
March 29 2000,US dollar,-3.616947985
March 29 2000,Euro,2.658272123
March 29 2000,Japanese yen,0.292089801
March 29 2000,Pound sterling,-1.286353468
March 29 2000,Canadian dollar,-2.910305344
March 29 2000,Swiss franc,1.786103245
March 29 2000,Indian rupee,-3.401349767
March 29 2000,Chinese renmimbi,-3.62849534
March 29 2000,South African rand,2.831728875
March 29 2000,Australian dollar,3.842655753
March 30 2000,US dollar,-4.994832931
March 30 2000,Euro,0.944386149
March 30 2000,Japanese yen,-1.361953605
March 30 2000,Pound sterling,-3.243847875
March 30 2000,Canadian dollar,-4.079198473
March 30 2000,Swiss franc,0.043563494
March 30 2000,Indian rupee,-4.760622287
March 30 2000,Chinese renmimbi,-5.005825566
March 30 2000,South African rand,2.088611158
March 30 2000,Australian dollar,2.637562528
March 31 2000,US dollar,-4.650361695
March 31 2000,Euro,1.154249738
March 31 2000,Japanese yen,-3.593723466
March 31 2000,Pound sterling,-2.964205817
March 31 2000,Canadian dollar,-4.150763359
March 31 2000,Swiss franc,0.239599216
March 31 2000,Indian rupee,-4.409714521
March 31 2000,Chinese renmimbi,-4.664613848
March 31 2000,South African rand,1.970387885
March 31 2000,Australian dollar,3.660754889
April 3 2000,US dollar,-4.409231829
April 3 2000,Euro,1.504022385
April 3 2000,Japanese yen,-1.254287946
April 3 2000,Pound sterling,-2.74049217
April 3 2000,Canadian dollar,-3.792938931
April 3 2000,Swiss franc,0.217817469
April 3 2000,Indian rupee,-4.13564209
April 3 2000,Chinese renmimbi,-4.406624501
April 3 2000,South African rand,2.544615211
April 3 2000,Australian dollar,3.979081401
April 4 2000,US dollar,-4.615914571
April 4 2000,Euro,1.434067856
April 4 2000,Japanese yen,-0.634785857
April 4 2000,Pound sterling,-2.964205817
April 4 2000,Canadian dollar,-4.03148855
April 4 2000,Swiss franc,-0.021781747
April 4 2000,Indian rupee,-4.331294953
April 4 2000,Chinese renmimbi,-4.623002663
April 4 2000,South African rand,2.111129877
April 4 2000,Australian dollar,4.524783993
April 5 2000,US dollar,-3.10024113
April 5 2000,Euro,1.888772298
April 5 2000,Japanese yen,0.432021193
April 5 2000,Pound sterling,-1.118568233
April 5 2000,Canadian dollar,-2.33778626
April 5 2000,Swiss franc,0.043563494
April 5 2000,Indian rupee,-2.811222712
April 5 2000,Chinese renmimbi,-3.087549933
April 5 2000,South African rand,4.312334628
April 5 2000,Australian dollar,5.616189177
April 6 2000,US dollar,-3.75473648
April 6 2000,Euro,1.888772298
April 6 2000,Japanese yen,-0.520327412
April 6 2000,Pound sterling,-1.286353468
April 6 2000,Canadian dollar,-3.291984733
April 6 2000,Swiss franc,-0.413853191
April 6 2000,Indian rupee,-3.484522037
April 6 2000,Chinese renmimbi,-3.757490013
April 6 2000,South African rand,3.304621967
April 6 2000,Australian dollar,5.616189177
April 7 2000,US dollar,-3.47915949
April 7 2000,Euro,2.238544946
April 7 2000,Japanese yen,0.249974527
April 7 2000,Pound sterling,-1.006711409
April 7 2000,Canadian dollar,-2.576335878
